{key='PK,N9,002,365000.ca5fca0931db699fe29ac2e9bb06af2f', nation='PK', taxCode='N9', percentOrFlatTag=Flat Tax, seqNo=365000, taxCarrier='YY', taxAmount=400, taxAmountCurrency='PKR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IS,IS,001,30858.62a24564fff52b7e8939bdad0eb687b9', nation='IS', taxCode='IS', percentOrFlatTag=Flat Tax, seqNo=30858, taxCarrier='YY', taxAmount=1720, taxAmountCurrency='ISK', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BR,BR,004,810000.699b4eee096822751604940024971085', nation='BR', taxCode='BR', percentOrFlatTag=Flat Tax, seqNo=810000, taxCarrier='YY', taxAmount=36.81, taxAmountCurrency='BRL', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CA,RC,002,24099.02366a17007f4edce2efcc5ff407326d', nation='CA', taxCode='RC', percentOrFlatTag=Percent Tax, seqNo=24099, taxCarrier='5T', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CR,IK,002,25075.4bd9c2418dc006e16cf16ae226dec2a4', nation='CR', taxCode='IK', percentOrFlatTag=Flat Tax, seqNo=25075, taxCarrier='AA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='US,ZP,001,134843.3c3e29ace078466846ad54b3e2fe8939', nation='US', taxCode='ZP', percentOrFlatTag=Flat Tax, seqNo=134843, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,FR,002,1937.35ef1626a2222814726394b80d31dc83', nation='FR', taxCode='FR', percentOrFlatTag=Flat Tax, seqNo=1937, taxCarrier='AA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CA,CA,004,89073.b26580b9639a8bd3e1cc49247d55bb3f', nation='CA', taxCode='CA', percentOrFlatTag=Flat Tax, seqNo=89073, taxCarrier='3H', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,813125.eb48f9a1ca42fb6362f3fe8a50a73694', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=813125, taxCarrier='YY', taxAmount=1.95, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,813125.3e760293f0b9dd4ef4b48655c8f33984', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=813125, taxCarrier='YY', taxAmount=1.95, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,US,014,140000.9edd1165d859a3716155be17c1a07cf3', nation='MX', taxCode='US', percentOrFlatTag=Flat Tax, seqNo=140000, taxCarrier='LY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='EG,S4,001,100000.5fbd5e21fe34b8f67b864c76010f2172', nation='EG', taxCode='S4', percentOrFlatTag=Flat Tax, seqNo=100000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,MX,006,597510.ca2b6e8074e509e3f6a7fdf360c92c8b', nation='MX', taxCode='MX', percentOrFlatTag=Percent Tax, seqNo=597510, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=16.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='HR,ZS,101,102500.e540702a3382176998ea93bfd227bc7c', nation='HR', taxCode='ZS', percentOrFlatTag=Percent Tax, seqNo=102500, taxCarrier='AY', taxAmount=null, taxAmountCurrency='null', taxPercent=25.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RE,O4,001,145000.c501cd903112fb625aa2cc26db2065e6', nation='RE', taxCode='O4', percentOrFlatTag=Flat Tax, seqNo=145000, taxCarrier='YY', taxAmount=3.00, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RE,O4,001,145000.c8c8f93831c24c821bdd088ef32d89cc', nation='RE', taxCode='O4', percentOrFlatTag=Flat Tax, seqNo=145000, taxCarrier='YY', taxAmount=3.00, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IT,VT,001,33125.b2d3ff9acbb05c49e212616c686913af', nation='IT', taxCode='VT', percentOrFlatTag=Flat Tax, seqNo=33125, taxCarrier='YY', taxAmount=2.64, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CH,LN,002,105000.e625edebec274f85a28109c635c575ee', nation='CH', taxCode='LN', percentOrFlatTag=Flat Tax, seqNo=105000, taxCarrier='LO', taxAmount=15.44, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
