{key='GF,QY,001,20000.cdf370024ac7ab371a50304ee04292d5', nation='GF', taxCode='QY', percentOrFlatTag=Flat Tax, seqNo=20000, taxCarrier='YY', taxAmount=0.91, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='UA,RI,001,12489.8e65cdc381656e8999d3b0716f643fde', nation='UA', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=12489, taxCarrier='SU', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='JP,HJ,001,20383.1cb5acb556fd7fe71b64a3646f93831f', nation='JP', taxCode='HJ', percentOrFlatTag=Flat Tax, seqNo=20383, taxCarrier='JL', taxAmount=220, taxAmountCurrency='JPY', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='UA,RI,001,12489.e0973e367fa7369d20f14f918b15b55a', nation='UA', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=12489, taxCarrier='SU', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XD,001,329955.5b61c5c862daef322ba08c8333c5b122', nation='MX', taxCode='XD', percentOrFlatTag=Flat Tax, seqNo=329955, taxCarrier='YY', taxAmount=1376, taxAmountCurrency='MXN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='JP,HJ,001,20384.7255d888892c2b2514a4002261893b00', nation='JP', taxCode='HJ', percentOrFlatTag=Flat Tax, seqNo=20384, taxCarrier='JL', taxAmount=440, taxAmountCurrency='JPY', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XD,001,329955.79ebd727e2486d715b6ecb5320a558ac', nation='MX', taxCode='XD', percentOrFlatTag=Flat Tax, seqNo=329955, taxCarrier='YY', taxAmount=1376, taxAmountCurrency='MXN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='TZ,HY,001,147500.9ce426e4b2a9810adfe13e668148de63', nation='TZ', taxCode='HY', percentOrFlatTag=Flat Tax, seqNo=147500, taxCarrier='YY', taxAmount=3000, taxAmountCurrency='TZS', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XD,001,329957.fd3f680d61d1f055f90ead8d2b0e4bd2', nation='MX', taxCode='XD', percentOrFlatTag=Flat Tax, seqNo=329957, taxCarrier='YY', taxAmount=1375, taxAmountCurrency='MXN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AR,DN,104,48489.dca48c070c596cd0c8da00a3564811a1', nation='AR', taxCode='DN', percentOrFlatTag=Percent Tax, seqNo=48489, taxCarrier='AR', taxAmount=null, taxAmountCurrency='null', taxPercent=21.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,XD,001,329957.61b7e2f56c936ad09f8fbd5cc770c07c', nation='MX', taxCode='XD', percentOrFlatTag=Flat Tax, seqNo=329957, taxCarrier='YY', taxAmount=1361, taxAmountCurrency='MXN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,QV,003,370000.3fbbb03febea61dfb1064221f317c15e', nation='ES', taxCode='QV', percentOrFlatTag=Flat Tax, seqNo=370000, taxCarrier='YY', taxAmount=3.54, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GU,AY,001,50050.d7a5ca871194b07d33bd019c4d91b808', nation='GU', taxCode='AY', percentOrFlatTag=Flat Tax, seqNo=50050, taxCarrier='UA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,QV,003,370000.f28c77efa0b63efcaf663eb8c79b5f21', nation='ES', taxCode='QV', percentOrFlatTag=Flat Tax, seqNo=370000, taxCarrier='YY', taxAmount=3.72, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IE,UP,001,2550.c57905d8aae63adda8b0d80e03ec5c66', nation='IE', taxCode='UP', percentOrFlatTag=Flat Tax, seqNo=2550, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PL,XW,001,95000.5dd7d210913ab84de70b08e686d8b5a5', nation='PL', taxCode='XW', percentOrFlatTag=Flat Tax, seqNo=95000, taxCarrier='YY', taxAmount=7.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,2149375.19bf9428fabef3b2dd4d6b658e4b79c4', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=2149375, taxCarrier='YY', taxAmount=5.91, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,001,325000.4360e80bd16e16c22c6a16b9b18257df', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=325000, taxCarrier='YY', taxAmount=5.00, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PE,DY,001,712.2c827a6052a720b08dbc4e70aa634891', nation='PE', taxCode='DY', percentOrFlatTag=Flat Tax, seqNo=712, taxCarrier='AM', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='EG,EG,100,105000.41e5abdd66ada2276a96a7c804011ffe', nation='EG', taxCode='EG', percentOrFlatTag=Flat Tax, seqNo=105000, taxCarrier='GF', taxAmount=250.00, taxAmountCurrency='EGP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AZ,JB,001,25075.57b103a73166217d7fb91dbbf0f34ebc', nation='AZ', taxCode='JB', percentOrFlatTag=Flat Tax, seqNo=25075, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
