itin_validatingcarrier,OBL_originairportcode,OBL_destinationairportcode,OBL_flightNumber,OBL_departdate,OBL_departtime,OBL_arrivedate,OBL_arrivetime,IBL_originairportcode,IBL_destinationairportcode,IBL_flightnumber,IBL_departdate,IBL_departtime,IBL_arrivedate,IBL_arrivetime,itin_cabin,itin_bookingcode,itin_totalamount,taxbreakdown,yq_val,yr_val,itin_true_tax_amount
"TS","EWR","YTZ","7125","20250526","750","20250526","930","YTZ","EWR","7474","20250602","1930","20250602","2100","E","Q","233.44","USD:AY 5.60|US 11.10|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 21.00|ZP 10.40|RC 2.73","0.0","0.0","85.44"
"AA","LGA","YYZ","4347","20250526","813","20250526","953","YYZ","JFK","4552","20250602","1055","20250602","1239","E","O","257.19","USD:AY 5.60|US 12.30|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.19"
"UA","EWR","YYZ","3555","20250526","956","20250526","1144","YYZ","LGA","8230","20250602","1655","20250602","1831","E","G","269.02","USD:AY 5.60|US 13.13|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.02"
"UA","LGA","YYZ","8229","20250526","725","20250526","907","YYZ","EWR","3705","20250602","1500","20250602","1648","E","G","269.02","USD:AY 5.60|US 13.13|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.02"
"UA","EWR","YYZ","8429","20250526","1955","20250526","2145","YYZ","EWR","3711","20250602","2000","20250602","2148","E","G","274.39","USD:AY 5.60|US 13.50|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.39"
"TS","EWR","YTZ","7357","20250526","650","20250526","830","YTZ","EWR","7360","20250602","745","20250602","915","E","Q","287.19","USD:AY 5.60|US 14.85|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 21.00|ZP 10.40|RC 2.73","0.0","0.0","89.19"
"UA","LGA","YYZ","8229","20250526","725","20250526","907","YYZ","JFK","6632","20250602","1320","20250602","1500","E","G","316.32","USD:AY 5.60|US 16.43|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","97.32"
"UA","LGA","YYZ","8469","20250526","830","20250526","1010","YYZ","EWR","8714","20250602","630","20250602","808","E","G","344.27","USD:AY 5.60|US 18.38|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","99.27"
"UA","LGA","YYZ","8229","20250526","725","20250526","907","YYZ","EWR","3705","20250602","1500","20250602","1648","E","G","344.27","USD:AY 5.60|US 18.38|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","99.27"
"UA","EWR","YYZ","3555","20250526","956","20250526","1144","YYZ","LGA","8230","20250602","1655","20250602","1831","E","G","344.27","USD:AY 5.60|US 18.38|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","99.27"
"AA","LGA","YYZ","4623","20250526","1030","20250526","1210","YYZ","LGA","4623","20250602","1259","20250602","1434","E","Q","371.14","USD:AY 5.60|US 20.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","101.14"
"TS","LGA","YYZ","7210","20250527","955","20250527","1135","YYZ","LGA","7209","20250529","1450","20250529","1630","E","Q","218.49","USD:AY 5.60|US 9.60|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","90.49"
"UA","EWR","YYZ","8505","20250527","630","20250527","816","YYZ","EWR","3648","20250529","1045","20250529","1223","E","G","264.72","USD:AY 5.60|US 12.83|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.72"
"UA","LGA","YYZ","8469","20250527","830","20250527","1010","YYZ","JFK","6608","20250529","755","20250529","939","E","G","338.89","USD:AY 5.60|US 18.00|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","98.89"
"UA","LGA","YYZ","8469","20250527","830","20250527","1010","YYZ","LGA","8236","20250529","1825","20250529","1959","E","G","338.89","USD:AY 5.60|US 18.00|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","98.89"
"UA","LGA","YYZ","8449","20250527","1420","20250527","1602","YYZ","EWR","8664","20250529","1130","20250529","1309","E","G","392.64","USD:AY 5.60|US 21.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","102.64"
"AC","LGA","YYZ","703","20250531","725","20250531","907","YYZ","LGA","8540","20250605","750","20250605","926","E","G","188.39","USD:AY 5.60|US 7.50|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","88.39"
"TS","LGA","YYZ","7208","20250531","615","20250531","755","YYZ","LGA","7209","20250605","1450","20250605","1630","E","Q","272.24","USD:AY 5.60|US 13.35|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.24"
